variable,method,time,vi,train_loss,test_loss
X3,lazy,1.1323912143707275,0.997291911393404,0.9852727055549622,1.0177446603775024
X3,retrain,13.796696186065674,1.007300604134798,0.9914694428443909,1.0277533531188965
all,full model,10.41557002067566,0.0,0.024302450940012932,0.025828354060649872
X1,dropout,0.0,2.238850601017475,2.181429386138916,2.264678955078125
X1,lazy,1.1468522548675537,1.0470175817608833,1.077790379524231,1.0728459358215332
X1,retrain,14.975959062576294,1.0101518705487251,1.0274293422698975,1.035980224609375
X2,dropout,0.0,1.3993265703320503,1.3873727321624756,1.4251549243927002
X2,lazy,1.1179518699645996,0.6771455481648445,0.7018024921417236,0.7029739022254944
X2,retrain,15.392510175704956,0.6424872353672981,0.644731342792511,0.668315589427948
X3,dropout,0.0,0.9790029600262642,0.9977820515632629,1.004831314086914
X3,lazy,1.1886777877807617,0.9897444322705269,0.990352213382721,1.0155727863311768
X3,retrain,10.980823993682861,0.9999697282910347,0.9885452389717102,1.0257980823516846
all,full model,11.91057825088501,0.0,0.027628913521766663,0.02882661670446396
X1,dropout,0.0,1.9779439941048622,2.0404956340789795,2.006770610809326
X1,lazy,1.1026942729949951,0.961555577814579,0.9859310388565063,0.990382194519043
X1,retrain,12.384627103805542,0.9669767394661903,0.9839040040969849,0.9958033561706543
X2,dropout,0.0,1.3921179547905922,1.4216663837432861,1.4209445714950562
X2,lazy,1.1145460605621338,0.6387127414345741,0.6802768111228943,0.6675393581390381
X2,retrain,11.705600023269653,0.6341135278344154,0.6670789122581482,0.6629401445388794
X3,dropout,0.0,0.9744483008980751,1.0474375486373901,1.003274917602539
X3,lazy,1.193512201309204,1.0009143128991127,1.062120795249939,1.0297409296035767
X3,retrain,19.079161882400513,0.9678854718804359,1.020990252494812,0.9967120885848999
all,full model,14.691868782043457,0.0,0.027773542329669,0.028195209801197052
X1,dropout,0.0,2.3502182289958,2.263427734375,2.378413438796997
X1,lazy,1.126115083694458,1.0467393919825554,1.047459363937378,1.0749346017837524
X1,retrain,9.573232889175415,1.0045005604624748,1.0088200569152832,1.0326957702636719
X2,dropout,0.0,1.3916951939463615,1.395380973815918,1.4198904037475586
X2,lazy,1.1071979999542236,0.6090605780482292,0.6358834505081177,0.6372557878494263
X2,retrain,11.540078163146973,0.6000037118792534,0.633383572101593,0.6281989216804504
X3,dropout,0.0,0.9363603517413139,1.0291341543197632,0.964555561542511
X3,lazy,1.105694055557251,0.9376106187701225,1.0170612335205078,0.9658058285713196
X3,retrain,9.014741897583008,0.9476177021861076,1.0111092329025269,0.9758129119873047
all,full model,12.971125841140747,0.0,0.02423943392932415,0.02513030171394348
X1,dropout,0.0,2.1566154658794403,2.137148141860962,2.181745767593384
X1,lazy,1.2027170658111572,1.084902971982956,1.0835036039352417,1.1100332736968994
X1,retrain,19.579052925109863,1.010037511587143,0.9943365454673767,1.0351678133010864
X2,dropout,0.0,1.4015402495861053,1.3846218585968018,1.4266705513000488
X2,lazy,1.1975011825561523,0.7230670750141144,0.7236639857292175,0.7481973767280579
X2,retrain,19.655369997024536,0.6429359614849091,0.6538788676261902,0.6680662631988525
X3,dropout,0.0,1.0161597430706024,1.0193785429000854,1.041290044784546
X3,lazy,1.1422038078308105,1.0726852118968964,1.0610172748565674,1.0978155136108398
X3,retrain,9.803786993026733,1.0239389836788177,1.019356369972229,1.0490692853927612
